年份,月份,销量
1996,7,27861.89495651722
1996,8,25485.27498658151
1996,9,26381.399988487363
1996,10,37515.72491448447
1996,11,45600.04494312592
1996,12,45239.629965431996
1997,1,61258.0699304849
1997,2,38483.63494294286
1997,3,38547.21996988951
1997,4,53032.95242693588
1997,5,53781.2899279859
1997,6,36362.80244842321
1997,7,51020.85745272498
1997,8,47287.669948245915
1997,9,55629.242456566535
1997,10,66749.22595180024
1997,11,43533.80896724927
1997,12,71398.4284467329
1998,1,94225.31038287493
1998,2,99415.2874558689
1998,3,104901.65493767224
1998,4,123798.6824212195
1998,5,18333.630464911257
